date,Prec [mm/day],T max [degC],T min [degC],rH mean [%], windspeed [m/s], sunshine [h/h]
1980-01-03, 4.6, -0.4, -5.7, 81, 2.36457, 0.660309
1980-01-04, 4.3, 0.2, -5.7, 94, 4.34398, 0
1980-01-05, 1.7, 3.6, -0.6, 91, 1.85302, 0.0505279
1980-01-06, 0.2, 3.8, 2, 89, 1.85302, 0
1980-01-07, 0.7, 2.7, 1.6, 95, 1.23914, 0
1980-01-08, 1.2, 2.3, 0.2, 90, 0.836, 0
1980-01-09, 0, 0.8, -0.6, 89, 1.23914, 0
1980-01-10, 0, 0.3, -2.4, 68, 2.91607, 0
1980-01-11, 0, -2.4, -6.5, 73, 2.91607, 0
1980-01-12, 1.3, -5.8, -8.3, 73, 4.34398, 0.0370157
1980-01-13, 9.9, -3.4, -9.6, 71, 2.36457, 0.774261
1980-01-14, 10, -4.1, -11.9, 79, 1.23914, 0.514066
1980-01-15, 0.2, -6, -8.6, 84, 1.23914, 0
1980-01-16, 0, -0.7, -7.9, 75, 4.34398, 0
1980-01-17, 1.8, 0.4, -5.6, 72, 2.36457, 0.77319
1980-01-18, 1.6, -1.9, -8.1, 81, 1.23914, 0.637369
1980-01-19, 0, -1.2, -10.6, 81, 0.489613, 0.371054
1980-01-20, 0, -2.5, -6.1, 86, 2.36457, 0
1980-01-21, 0, -0.9, -6.4, 89, 4.34398, 0
1980-01-22, 0, 4.9, -1.7, 84, 5.01161, 0.188717
1980-01-23, 0, 4.7, 1.7, 84, 3.70896, 0.0352048
1980-01-24, 0.3, 3.1, 1.7, 95, 0.836, 0
1980-01-25, 0.5, 4.8, 1.2, 82, 2.91607, 0.116131
1980-01-26, 3.9, 2.8, -0.1, 80, 3.70896, 0.254129
1980-01-27, 3.9, 2.7, -2.9, 76, 2.91607, 0.459561
1980-01-28, 1.1, -0.9, -8, 85, 1.85302, 0.148542
1980-01-29, 7.2, 1.3, -2.4, 86, 1.85302, 0
1980-01-30, 8, 7.1, 0.4, 83, 2.91607, 0
1980-01-31, 7.9, 9.7, 4.9, 80, 5.94989, 0
1980-02-01, 2.5, 8.5, -1.4, 77, 5.01161, 0.379849
1980-02-02, 2.2, 6, -1.4, 87, 5.01161, 0
1980-02-03, 0, 5.9, 3, 79, 5.01161, 0
1980-02-04, 6.1, 7.2, 2.4, 81, 4.34398, 0
1980-02-05, 2.3, 9.4, 2.4, 82, 4.34398, 0
1980-02-06, 5.7, 9.5, 5.8, 76, 4.34398, 0.260417
1980-02-07, 0.3, 8.5, 4.9, 83, 3.70896, 0.0862917
1980-02-08, 0.4, 9.3, 4, 80, 1.85302, 0.0214446
1980-02-09, 0, 9.6, 1.7, 79, 2.36457, 0.266456
1980-02-10, 0, 10.5, 2.8, 80, 1.23914, 0
1980-02-11, 0.1, 7.2, 0.4, 82, 3.70896, 0.0737146
1980-02-12, 0, 5.3, 1.2, 92, 1.23914, 0
1980-02-13, 0, 5.8, 3.2, 86, 0.836, 0
1980-02-14, 0, 3.8, 0, 91, 0.137369, 0
1980-02-15, 0, 5.9, -0.6, 80, 2.36457, 0
1980-02-16, 0, 7.5, 3.8, 91, 0.836, 0.010216
1980-02-17, 0, 7.8, 4.4, 71, 1.85302, 0.274159
1980-02-18, 0, 4.6, 1.9, 66, 1.85302, 0
1980-02-19, 0, 5.6, -1.8, 65, 2.36457, 0.872709
1980-02-20, 0, 8, -2.8, 71, 2.36457, 0.897325
1980-02-21, 0, 10, -3, 72, 1.85302, 0.802696
1980-02-22, 0, 8.6, -3, 75, 0.836, 0.787984
1980-02-23, 0, 8.5, -3.7, 75, 0.489613, 0.509091
1980-02-24, 6, 11.6, -0.6, 70, 0.836, 0.836872
1980-02-25, 4.1, 11, -2.8, 78, 0.137369, 0.735101
1980-02-26, 5.2, 12, -1.8, 65, 1.85302, 0.846046
1980-02-27, 4.5, 4.6, -1.2, 83, 3.70896, 0.0668949
1980-02-28, 0.2, 3, -1.4, 72, 2.36457, 0
1980-02-29, 0, 5.7, 1.9, 83, 4.34398, 0
1980-03-01, 0, 8.3, 4.7, 79, 2.91607, 0.0750887
1980-03-02, 0, 6.5, 2.2, 69, 3.70896, 0.0279909
1980-03-03, 0, 5.6, -0.9, 65, 3.70896, 0.723452
1980-03-04, 0, 2.9, -1.6, 83, 2.91607, 0
1980-03-05, 0, 5.7, -1.9, 82, 1.85302, 0.302477
1980-03-06, 0, 7, -2, 80, 5.94989, 0.0182244
1980-03-07, 0, 9.6, 5.3, 74, 5.01161, 0.362359
1980-03-08, 0, 10.3, 2, 69, 1.85302, 0.306212
1980-03-09, 0, 11, 1.9, 75, 3.70896, 0.367115
1980-03-10, 0, 7.5, 2, 83, 1.23914, 0.0445117
1980-03-11, 1, 6.7, 4.5, 91, 0.836, 0
1980-03-12, 0.5, 7.8, 3.8, 83, 2.36457, 0.0792044
1980-03-13, 0, 6.1, 3, 88, 2.91607, 0
1980-03-14, 0, 7.1, 2.4, 79, 2.91607, 0.295824
1980-03-15, 1.6, 7.6, 1.7, 77, 3.70896, 0.181683
1980-03-16, 1.8, 11.6, 1.6, 70, 1.23914, 0.602206
1980-03-17, 2.1, 10.3, 3.6, 79, 1.23914, 0
1980-03-18, 1.4, 10, 3.8, 70, 3.70896, 0.0595507
1980-03-19, 5.5, 4.7, -0.6, 76, 4.34398, 0
1980-03-20, 14.5, 1.1, -2.3, 72, 4.34398, 0.319715
1980-03-21, 3.3, 2.7, -2.6, 80, 1.85302, 0
1980-03-22, 8.6, 6.1, 0.3, 88, 1.85302, 0
1980-03-23, 4.6, 10.6, 0.6, 71, 2.91607, 0.339347
1980-03-24, 0.1, 7.4, 1, 80, 1.23914, 0
1980-03-25, 4.4, 12.9, 1.8, 68, 2.91607, 0.0982564
1980-03-26, 3, 10.2, 4.2, 79, 0.836, 0.285054
1980-03-27, 0.2, 13, 4, 89, 3.70896, 0
1980-03-28, 0.8, 16.8, 10.9, 77, 3.70896, 0.161172
1980-03-29, 3.7, 11.3, 5.9, 74, 5.01161, 0.256525
1980-03-30, 1.8, 9, 4.1, 80, 3.70896, 0.374812
1980-03-31, 6.2, 11.9, 1.1, 72, 2.36457, 0.269739
1980-04-01, 0, 14.7, 6.5, 85, 3.70896, 0.0710346
1980-04-02, 1.9, 12.4, 4.5, 76, 6.688, 0.164901
1980-04-03, 6.9, 7.8, 3.4, 71, 5.94989, 0.171878
1980-04-04, 1.1, 6.4, 1.7, 69, 2.91607, 0.248745
1980-04-05, 3.7, 8.3, 1.9, 64, 1.85302, 0.37125
1980-04-06, 32.3, 11.7, -0.6, 64, 1.85302, 0.900426
1980-04-07, 0.8, 13.9, 1.6, 65, 2.91607, 0.704534
1980-04-08, 5.7, 9.8, 2.6, 75, 5.01161, 0.304818
1980-04-09, 6, 9.1, 2.3, 72, 3.70896, 0.273002
1980-04-10, 0.2, 7.4, 1.6, 77, 2.91607, 0.0679211
1980-04-11, 0.2, 11.7, 3.7, 68, 1.23914, 0.0751063
1980-04-12, 0.5, 14.9, -0.8, 64, 1.23914, 0.882041
1980-04-13, 0, 17.4, 0.2, 59, 0.137369, 0.870441
1980-04-14, 0, 20.6, 1.5, 54, 0.489613, 0.910797
1980-04-15, 0, 21.6, 4, 48, 1.85302, 0.884459
1980-04-16, 0.9, 22.6, 6, 43, 1.85302, 0.843705
1980-04-17, 9, 22.3, 5.4, 48, 2.36457, 0.59155
1980-04-18, 0, 14.1, 5.9, 66, 3.70896, 0.130861
1980-04-19, 0.2, 10.5, 2.8, 66, 7.45434, 0.202649
1980-04-20, 0, 6.9, -0.1, 69, 4.34398, 0.165722
1980-04-21, 2, 9.8, 0.6, 64, 1.23914, 0.616931
1980-04-22, 0, 8.4, 2.1, 77, 0.836, 0.228555
1980-04-23, 13.1, 10.1, -0.8, 62, 3.70896, 0.0853384
1980-04-24, 0.2, 10.5, 2.8, 63, 8.5183, 0.417788
1980-04-25, 0, 6.5, 2.2, 82, 4.34398, 0
1980-04-26, 0.2, 8.2, 3.7, 79, 2.36457, 0.0912825
1980-04-27, 0, 12.1, 3.5, 77, 1.23914, 0.265722
1980-04-28, 2, 10.6, 5.4, 69, 2.36457, 0.0417845
1980-04-29, 1.1, 11.9, 3.5, 69, 0.836, 0.0554874
1980-04-30, 0.9, 17.7, 4.6, 57, 2.91607, 0.642465
1980-05-01, 0.2, 18.5, 8.3, 58, 4.34398, 0.715621
1980-05-02, 1.2, 14.3, 7.3, 66, 2.91607, 0.44552
1980-05-03, 0, 11.3, 6.2, 66, 2.91607, 0
1980-05-04, 3.7, 11.8, 2, 59, 4.34398, 0.346897
1980-05-05, 7.4, 12.7, 1.7, 46, 4.34398, 0.874164
1980-05-06, 1.8, 16.6, 2.8, 53, 1.85302, 0.36458
1980-05-07, 3.3, 16.5, 9.2, 65, 1.85302, 0.322894
1980-05-08, 0.3, 10.8, 5.6, 81, 2.36457, 0
1980-05-09, 1.3, 14.5, 4.2, 50, 2.91607, 0.494269
1980-05-10, 4.1, 18.5, 3, 48, 1.85302, 0.911898
1980-05-11, 0, 20.4, 4.2, 44, 2.91607, 0.915428
1980-05-12, 2.7, 22, 6.9, 40, 3.70896, 0.912368
1980-05-13, 6.8, 20.3, 7.5, 39, 4.34398, 0.902784
1980-05-14, 0, 18.3, 6.6, 38, 4.34398, 0.926151
1980-05-15, 18.2, 15.4, 5.1, 38, 4.34398, 0.883941
1980-05-16, 0, 16.4, 2.5, 43, 1.85302, 0.842043
1980-05-17, 6.7, 18.5, 3.1, 50, 2.36457, 0.637756
1980-05-18, 0, 21.3, 9.4, 52, 2.36457, 0.648845
1980-05-19, 0, 21.5, 7.4, 50, 1.23914, 0.750485
1980-05-20, 0, 21.8, 9.4, 73, 1.85302, 0.322572
1980-05-21, 15.4, 22.6, 9.1, 54, 1.85302, 0.508261
1980-05-22, 6.1, 16.6, 7.3, 57, 3.70896, 0.468401
1980-05-23, 17.9, 17.7, 2.9, 47, 2.36457, 0.793566
1980-05-24, 2.3, 15.3, 7.9, 62, 2.91607, 0.134054
1980-05-25, 1, 12.3, 9.7, 69, 2.91607, 0.038207
1980-05-26, 2.3, 20.3, 2.8, 63, 0.836, 0.762321
1980-05-27, 1.4, 20.3, 7.5, 71, 1.23914, 0.310564
1980-05-28, 0, 20.5, 9.6, 70, 1.23914, 0.196043
1980-05-29, 0, 20.4, 11.2, 85, 1.23914, 0.214554
1980-05-30, 4.2, 12.8, 9.3, 80, 3.70896, 0
1980-05-31, 0, 16.8, 3.5, 73, 1.85302, 0.333101
1980-06-01, 0, 13.9, 9.1, 77, 1.85302, 0.12546
1980-06-02, 0, 17.4, 6.7, 63, 3.70896, 0.557287
1980-06-03, 0, 16.7, 7.6, 75, 2.36457, 0.212529
1980-06-04, 0, 23.5, 13.5, 59, 2.36457, 0.798797
1980-06-05, 0, 25.6, 10.9, 56, 1.23914, 0.841175
1980-06-06, 0.2, 27.7, 12.1, 54, 1.85302, 0.640847
1980-06-07, 0, 20.1, 13.4, 83, 2.91607, 0
1980-06-08, 0, 23.4, 10.3, 57, 1.23914, 0.744638
1980-06-09, 0, 18.4, 11.6, 82, 1.85302, 0
1980-06-10, 0, 20.9, 13.4, 76, 2.91607, 0.0804846
1980-06-11, 0, 21.4, 13.7, 59, 2.91607, 0.525717
1980-06-12, 0.2, 24.5, 9.6, 59, 0.836, 0.852739
1980-06-13, 0.5, 26.4, 14.3, 65, 0.489613, 0.302537
1980-06-14, 0, 28.5, 15.4, 56, 2.91607, 0.178923
1980-06-15, 0, 23.2, 13.9, 67, 2.36457, 0.462442
1980-06-16, 0, 19.7, 9.6, 69, 2.36457, 0.166391
1980-06-17, 0, 18.7, 13.1, 74, 2.36457, 0.123199
1980-06-18, 0, 17.1, 10.3, 73, 3.70896, 0.357155
1980-06-19, 0.2, 17.9, 11, 73, 2.91607, 0.184691
1980-06-20, 0, 15.6, 10.3, 63, 5.94989, 0.504748
1980-06-21, 0, 16.3, 10.5, 60, 4.34398, 0.160034
1980-06-22, 0, 15.2, 9.9, 81, 1.85302, 0.27084
1980-06-23, 5.7, 18.1, 9.6, 63, 3.70896, 0.609479
1980-06-24, 0.1, 15.8, 10.4, 75, 5.01161, 0.0923678
1980-06-25, 2.2, 14.8, 9.6, 75, 2.91607, 0.375756
1980-06-26, 0, 17, 7.2, 73, 1.23914, 0.283481
1980-06-27, 0.5, 16.8, 9.6, 72, 4.34398, 0.332959
1980-06-28, 4.9, 13.4, 8.4, 81, 2.36457, 0.0185093
1980-06-29, 0.2, 16.2, 10.9, 69, 5.01161, 0.426023
1980-06-30, 0, 18.8, 10, 67, 2.91607, 0.142124
1980-07-01, 0, 16.5, 10.9, 79, 3.70896, 0.105144
1980-07-02, 0, 17.9, 9.9, 80, 4.34398, 0.0619116
1980-07-03, 0, 19.3, 11, 73, 2.91607, 0.179741
1980-07-04, 0.2, 20.2, 9.8, 68, 1.85302, 0.179955
1980-07-05, 0, 18.9, 12.9, 69, 1.23914, 0.198826
1980-07-06, 26.7, 21.7, 10.4, 59, 1.85302, 0.628408
1980-07-07, 0, 19, 14.6, 68, 2.91607, 0.236777
1980-07-08, 0, 17.6, 12.9, 81, 4.34398, 0.149776
1980-07-09, 0, 18.1, 11.9, 73, 4.34398, 0.0687599
1980-07-10, 0, 16.4, 12.6, 84, 3.70896, 0.0250468
1980-07-11, 0, 15.4, 12.4, 85, 2.36457, 0
1980-07-12, 0, 16, 10.7, 75, 2.91607, 0.0628499
1980-07-13, 0, 14.5, 10.2, 79, 3.70896, 0.119652
1980-07-14, 0, 18.6, 11.2, 80, 2.91607, 0.164072
1980-07-15, 4.2, 17.3, 12.4, 79, 1.23914, 0.0505922
1980-07-16, 15.4, 14.9, 10.7, 70, 2.36457, 0.145777
1980-07-17, 7.1, 17, 8.1, 63, 3.70896, 0.298579
1980-07-18, 0, 18.8, 12.7, 72, 2.91607, 0.0636792
1980-07-19, 0, 16.9, 13, 83, 2.91607, 0
1980-07-20, 0, 17.7, 15.2, 79, 4.34398, 0.0191994
1980-07-21, 2.4, 16.2, 10.8, 80, 5.94989, 0
1980-07-22, 0.4, 19.9, 9.7, 60, 1.85302, 0.688415
1980-07-23, 0, 23.5, 7.1, 61, 0.836, 0.870957
1980-07-24, 0, 26.8, 9.7, 59, 1.85302, 0.802255
1980-07-25, 0, 27.2, 12.7, 59, 2.91607, 0.76565
1980-07-26, 0, 28.5, 14.9, 59, 1.85302, 0.741891
1980-07-27, 0, 23.2, 16.4, 75, 1.23914, 0.248048
1980-07-28, 0, 26.5, 14.9, 71, 1.85302, 0.412513
1980-07-29, 0, 26.5, 15.9, 67, 3.70896, 0.538622
1980-07-30, 0, 21.2, 15.8, 77, 1.85302, 0.118616
1980-07-31, 2.3, 24.2, 14.4, 64, 0.836, 0.614868
1980-08-01, 0, 25.9, 11.3, 62, 1.85302, 0.663366
1980-08-02, 1.7, 30, 14.1, 65, 1.85302, 0.658975
1980-08-03, 12.9, 28.7, 16.7, 66, 1.23914, 0.220422
1980-08-04, 0.2, 26.2, 16.7, 66, 0.836, 0.697116
1980-08-05, 0, 23.8, 16, 66, 4.34398, 0.262357
1980-08-06, 0, 20.5, 13.5, 65, 3.70896, 0.465862
1980-08-07, 0, 25.9, 10.2, 65, 0.836, 0.833523
1980-08-08, 0, 22, 15.2, 84, 0.836, 0.238072
1980-08-09, 1.5, 21.3, 14.8, 69, 0.489613, 0.279946
1980-08-10, 0, 22.3, 11.9, 67, 0.489613, 0.239901
1980-08-11, 0, 24.5, 10.2, 68, 0.836, 0.488559
1980-08-12, 0, 19.9, 12, 83, 4.34398, 0.345419
1980-08-13, 0, 20, 10.4, 70, 1.23914, 0.520206
1980-08-14, 0, 22.2, 10.1, 72, 0.836, 0.257677
1980-08-15, 0, 26.5, 10.7, 63, 1.85302, 0.853126
1980-08-16, 0, 26.7, 15.2, 69, 0.836, 0.695167
1980-08-17, 0, 25.3, 14.8, 76, 0.489613, 0.232696
1980-08-18, 0, 25.3, 15.3, 81, 0.836, 0.240765
1980-08-19, 0, 21, 14.5, 88, 0.836, 0.0213351
1980-08-20, 0, 22.7, 14.5, 69, 4.34398, 0.471406
1980-08-21, 0, 20.7, 12.9, 74, 5.94989, 0.466296
1980-08-22, 0, 16.4, 9.6, 73, 5.94989, 0.295425
1980-08-23, 0, 14.6, 10, 72, 3.70896, 0.0796141
1980-08-24, 0, 15.4, 9.7, 81, 2.91607, 0.196296
1980-08-25, 0, 18.4, 5.8, 75, 0.836, 0.75954
1980-08-26, 0, 21.4, 5.5, 70, 1.23914, 0.733675
1980-08-27, 0, 22.9, 9.5, 77, 0.489613, 0.353792
1980-08-28, 0, 24, 11.4, 79, 1.85302, 0.333227
1980-08-29, 0, 22.9, 15.1, 80, 2.36457, 0.334794
1980-08-30, 0.2, 19.7, 13.4, 78, 3.70896, 0.388706
1980-08-31, 1.6, 18.2, 12.6, 80, 4.34398, 0.045065
1980-09-01, 2.5, 17.2, 10.4, 75, 0.836, 0.264145
1980-09-02, 0, 19.3, 6.2, 72, 0.836, 0.735609
1980-09-03, 0, 22.2, 5.2, 71, 1.23914, 0.861135
1980-09-04, 0, 24.7, 9.5, 75, 1.23914, 0.444175
1980-09-05, 0, 21.8, 15.3, 84, 2.91607, 0.169315
1980-09-06, 1.3, 19.4, 12.2, 83, 2.36457, 0.464076
1980-09-07, 3.1, 21.6, 7.7, 78, 0.489613, 0.730708
1980-09-08, 7.9, 24, 8.4, 75, 1.23914, 0.734407
1980-09-09, 0, 20.2, 11.9, 83, 2.91607, 0.109937
1980-09-10, 0, 15.8, 10.6, 84, 3.70896, 0.110501
1980-09-11, 3, 15.4, 12.5, 82, 3.70896, 0.0158674
1980-09-12, 5.6, 18.4, 12.7, 83, 5.01161, 0.0318998
1980-09-13, 6.1, 15.6, 11.5, 80, 3.70896, 0.513066
1980-09-14, 2.1, 15.2, 12.1, 80, 4.34398, 0.048353
1980-09-15, 0, 16.3, 12.5, 85, 2.91607, 0.0081015
1980-09-16, 0, 20.7, 8.8, 81, 0.489613, 0.586414
1980-09-17, 2.3, 18.5, 9.5, 85, 1.85302, 0.180142
1980-09-18, 0, 20.7, 10.8, 76, 0.489613, 0.633894
1980-09-19, 7.3, 24, 9.4, 81, 0.836, 0.74493
1980-09-20, 0, 25.7, 11.7, 79, 0.489613, 0.748989
1980-09-21, 0, 25, 11.8, 82, 0.137369, 0.635945
1980-09-22, 0.4, 22.1, 14.1, 85, 0.137369, 0.17669
1980-09-23, 0, 21, 13.1, 82, 0.836, 0.313035
1980-09-24, 0, 21.6, 11.7, 82, 0.137369, 0.399852
1980-09-25, 0, 15, 12.1, 92, 0.489613, 0
1980-09-26, 0, 16.9, 9, 85, 1.85302, 0.559209
1980-09-27, 0, 16.3, 6.1, 90, 0.836, 0.181688
1980-09-28, 0, 19.5, 9.6, 82, 0.489613, 0.565563
1980-09-29, 0, 17.4, 8.2, 86, 0.836, 0.42878
1980-09-30, 4.3, 17.8, 10, 83, 1.85302, 0.211218
1980-10-01, 0, 15.8, 6, 77, 2.36457, 0.778926
1980-10-02, 0, 15.2, 8.6, 78, 2.36457, 0.614281
1980-10-03, 0, 15.7, 4.1, 80, 0.836, 0.608894
1980-10-04, 0, 14.7, 0.6, 80, 0.836, 0.360261
1980-10-05, 1.5, 14.6, 6.7, 77, 1.23914, 0.815334
1980-10-06, 5.3, 13.1, 4.3, 78, 2.36457, 0
1980-10-07, 0, 15.1, 9.8, 84, 4.34398, 0
1980-10-08, 0.5, 11.9, 6.7, 74, 2.91607, 0.248955
1980-10-09, 1.7, 9.4, 4.2, 84, 1.23914, 0.204057
1980-10-10, 0, 8.8, 1.3, 89, 1.23914, 0.167951
1980-10-11, 0, 8.6, 0.9, 86, 1.23914, 0
1980-10-12, 4.1, 10.7, 5.5, 80, 1.85302, 0.0472134
1980-10-13, 0.1, 9.3, 4.6, 78, 1.23914, 0
1980-10-14, 8.1, 10.9, 3.8, 82, 0.836, 0.238918
1980-10-15, 0.3, 11.4, 2.8, 88, 0.137369, 0.0961448
1980-10-16, 0.3, 10.8, 4.3, 94, 1.85302, 0
1980-10-17, 0.4, 12.1, 8, 92, 2.91607, 0
1980-10-18, 0, 10, 7, 84, 2.36457, 0
1980-10-19, 0, 9.6, 4.8, 70, 2.36457, 0.591008
1980-10-20, 0, 10.3, 3, 79, 1.85302, 0.872094
1980-10-21, 0, 11.3, 4.5, 81, 1.85302, 0.388854
1980-10-22, 0, 11.4, 4.9, 85, 2.36457, 0.110346
1980-10-23, 0.3, 12.9, 7.9, 85, 3.70896, 0.0706491
1980-10-24, 0, 11.1, 8.3, 89, 3.70896, 0.0101544
1980-10-25, 0, 10, 5.7, 83, 2.91607, 0.0408654
1980-10-26, 0.1, 8.9, 2.1, 82, 2.36457, 0.0102787
1980-10-27, 0, 12.3, 5.6, 87, 2.91607, 0
1980-10-28, 0, 17.4, 9.8, 82, 2.91607, 0.790727
1980-10-29, 0.2, 14.3, 8.8, 73, 5.94989, 0.334961
1980-10-30, 0, 9.6, 2, 82, 2.36457, 0.463364
1980-10-31, 0, 7.7, -2, 81, 2.36457, 0.0423788
1980-11-01, 0, 5.9, -1.5, 67, 2.91607, 0.884663
1980-11-02, 0, 0.9, -4.9, 65, 4.34398, 0.847089
1980-11-03, 0, -1.2, -4.6, 71, 4.34398, 0.183376
1980-11-04, 0, -1.4, -3.7, 72, 3.70896, 0.368937
1980-11-05, 0, -0.9, -4, 73, 4.34398, 0.0218308
1980-11-06, 0, 0.2, -1.5, 84, 2.91607, 0
1980-11-07, 0, 1.5, -2.8, 96, 0.489613, 0.011044
1980-11-08, 0, 1.4, -5.6, 91, 0.489613, 0.699821
1980-11-09, 0, 4.7, -1.5, 88, 0.836, 0.726204
1980-11-10, 0, 3.4, -1.2, 75, 1.23914, 0.573052
1980-11-11, 0, 1.3, -0.8, 87, 1.23914, 0
1980-11-12, 0, 4.1, -0.6, 85, 1.85302, 0.045454
1980-11-13, 0.6, 5.3, 3, 82, 2.91607, 0.0114266
1980-11-14, 0.4, 6.4, 2, 77, 3.70896, 0
1980-11-15, 0.1, 10.8, 2.4, 92, 4.34398, 0
1980-11-16, 0.1, 13, 10.8, 85, 2.91607, 0
1980-11-17, 0.4, 13.2, 10.7, 78, 4.34398, 0
1980-11-18, 0, 12.4, 6.5, 69, 7.45434, 0.352058
1980-11-19, 0.1, 7.7, 3.5, 81, 2.91607, 0.129746
1980-11-20, 0, 11.8, 6.5, 79, 1.85302, 0.61642
1980-11-21, 0, 13.3, 7.2, 76, 2.91607, 0.14295
1980-11-22, 0.6, 12.7, 7.6, 80, 2.91607, 0
1980-11-23, 8.9, 14.2, 10, 72, 2.91607, 0.0601307
1980-11-24, 14.1, 12.1, 6.8, 88, 1.23914, 0
1980-11-25, 17, 9.5, 3.9, 89, 2.36457, 0
1980-11-26, 1.4, 6.9, 3.1, 83, 1.85302, 0.0487535
1980-11-27, 0.5, 3.1, -2.3, 89, 2.36457, 0.220319
1980-11-28, 1.4, 1.8, -0.6, 95, 2.36457, 0
1980-11-29, 0, 1.5, -0.3, 93, 2.36457, 0
1980-11-30, 0, 0.3, -1.9, 76, 3.70896, 0.086702
1980-12-01, 0, -1.6, -6.2, 80, 1.23914, 0.882639
1980-12-02, 0, -3.9, -6.4, 89, 2.91607, 0
1980-12-03, 2.7, 1, -5.4, 82, 2.36457, 0.600837
1980-12-04, 0, 1.5, -3.2, 86, 1.85302, 0.0502305
1980-12-05, 1, 1.9, -7.6, 94, 2.36457, 0
1980-12-06, 1.4, 1.8, -5, 84, 4.34398, 0
1980-12-07, 5.3, -5, -9.6, 92, 0.489613, 0.0886645
1980-12-08, 0.6, -3.2, -12.5, 92, 1.23914, 0
1980-12-09, 0, 0.2, -3.8, 76, 2.36457, 0.305478
1980-12-10, 0, 1.5, -4.2, 68, 3.70896, 0
1980-12-11, 0, 4.7, 1.2, 81, 2.91607, 0
1980-12-12, 0, 3.6, 2.3, 92, 0.836, 0
1980-12-13, 0, 5.8, 1, 87, 5.01161, 0
1980-12-14, 0, 10.6, 5.8, 83, 5.01161, 0
1980-12-15, 0, 10.6, 6, 79, 4.34398, 0.167155
1980-12-16, 5.4, 6.1, 0.8, 77, 2.36457, 0.424744
1980-12-17, 1.8, 0.8, -2.6, 96, 3.70896, 0
1980-12-18, 1.8, 1.6, -1.2, 96, 2.36457, 0
1980-12-19, 0.1, 0.7, -2.3, 93, 1.85302, 0
1980-12-20, 6.5, 1.7, -3.1, 95, 4.34398, 0
1980-12-21, 0.1, 4.6, 1.7, 85, 2.36457, 0.0902798
1980-12-22, 3.4, 4.4, 2.5, 82, 2.36457, 0.593147
1980-12-23, 11.5, 9.8, 2.6, 95, 4.34398, 0
1980-12-24, 4.1, 11, 9.2, 80, 2.91607, 0
1980-12-25, 0.2, 10.2, 4.7, 78, 2.36457, 0.0900968
1980-12-26, 0, 5.2, 1.4, 78, 2.91607, 0.141438
1980-12-27, 0, 2.6, -0.2, 85, 0.489613, 0.128424
1980-12-28, 0, -0.2, -4.5, 95, 1.23914, 0.192366
1980-12-29, 0, 0.2, -2.4, 94, 1.23914, 0
1980-12-30, 2.3, 3.2, -0.3, 95, 1.85302, 0
1980-12-31, 5.9, 6.5, 2.8, 71, 4.34398, 0.408183
1981-01-01, 4.7, 4.8, 0.3, 89, 5.01161, 0.0510229
1981-01-02, 0.9, 6, 0.4, 91, 4.34398, 0
1981-01-03, 1.9, 8.5, 4.2, 79, 8.5183, 0
1981-01-04, 0.1, 6.2, -0.2, 83, 5.01161, 0.227991
1981-01-05, 5.2, 2.7, -1.1, 77, 5.01161, 0.480015
1981-01-06, 1.5, -0.1, -3.1, 88, 2.36457, 0.17634
1981-01-07, 0.1, -0.6, -8.4, 83, 1.85302, 0.565084
1981-01-08, 0, -3.2, -8.4, 86, 2.36457, 0
1981-01-09, 0, -1.6, -3.5, 91, 3.70896, 0
1981-01-10, 0.4, 0.6, -1.9, 92, 1.85302, 0
1981-01-11, 10.4, 0.6, -5.2, 83, 2.36457, 0.66883
1981-01-12, 16.1, -1, -6.2, 89, 2.36457, 0
1981-01-13, 2, 1.6, -3.2, 79, 1.85302, 0.651362
1981-01-14, 13.4, 0.2, -5.3, 89, 3.70896, 0
1981-01-15, 0.7, 2.7, -1.2, 93, 5.01161, 0.207197
1981-01-16, 0, 0, -2.1, 88, 5.01161, 0.194163
1981-01-17, 0, 3.6, -1.6, 90, 2.91607, 0.0241622
1981-01-18, 0, 2.1, 0.1, 90, 2.91607, 0
1981-01-19, 0, 3.9, -1.5, 87, 6.688, 0.095756
1981-01-20, 8.6, 2.3, -1.8, 81, 2.36457, 0.27398
1981-01-21, 3.8, -0.9, -8.3, 85, 0.489613, 0.391179
1981-01-22, 4, -3.1, -11, 93, 0.137369, 0.377434
1981-01-23, 0, -0.8, -11.8, 83, 0.137369, 0.516337
1981-01-24, 1.3, -2.8, -11, 80, 0.836, 0.53702
1981-01-25, 0.3, 2.9, -4.2, 93, 1.85302, 0
1981-01-26, 0.1, 3.5, -3.1, 84, 1.23914, 0.415848
1981-01-27, 4.3, -0.6, -5.3, 97, 0.137369, 0
1981-01-28, 0.2, 1.4, -0.8, 89, 0.836, 0
1981-01-29, 4.3, 0, -5.8, 90, 0.489613, 0.238626
1981-01-30, 6.1, 0, -10.6, 81, 0.489613, 0.655382
1981-01-31, 0.4, -3.9, -6.4, 99, 1.23914, 0
1981-02-01, 8.8, -3.6, -5.6, 99, 2.36457, 0
1981-02-02, 0, -2, -4.1, 98, 0.836, 0
1981-02-03, 3.7, 3.6, -5.3, 86, 3.70896, 0
1981-02-04, 41.6, 3.4, 0.9, 92, 2.91607, 0
1981-02-05, 4.4, 2.1, 0, 83, 3.70896, 0.196471
