0	0.06
1	0.05
2	0.14
3	0.15
4	0.19
5	0.16
6	0.17
7	0.12
8	0.05
9	0.09
10	0.15
11	0.11
12	0.37
13	0.25
14	0.17
15	0.12
16	0.25
17	0.15
18	0.13
19	0.10
20	0.11
21	0.15
22	0.14
23	0.14
24	0.14
25	0.18
26	0.15
27	0.10
28	0.16
29	0.24
30	0.31
31	0.26
32	0.26
33	0.16
34	0.22
35	0.21
36	0.22
37	0.24
38	0.14
39	0.15
40	0.19
41	0.26
42	0.24
43	0.27
44	0.36
45	0.23
46	0.33
47	0.31
48	0.28
49	0.23
50	0.32
51	0.34
52	0.39
53	0.30
54	0.31
55	0.22
56	0.36
57	0.33
58	0.26
59	0.24
60	0.23
61	0.30
62	0.21
63	0.28
64	0.33
65	0.27
66	0.33
67	0.41
68	0.37
69	0.37
70	0.37
71	0.38
72	0.26
73	0.32
74	0.32
75	0.26
76	0.27
77	0.28
78	0.25
79	0.36
80	0.34
81	0.31
82	0.34
83	0.29
84	0.31
85	0.29
86	0.31
87	0.33
88	0.39
89	0.31
90	0.33
91	0.37
92	0.35
93	0.24
94	0.28
95	0.33
96	0.38
97	0.41
98	0.49
99	0.37
100	0.42
101	0.33
102	0.46
103	0.41
104	0.43
105	0.43
106	0.42
107	0.53
108	0.39
109	0.53
110	0.45
111	0.46
112	0.49
113	0.46
114	0.42
115	0.43
116	0.42
117	0.45
118	0.43
119	0.42
120	0.40
121	0.52
122	0.45
123	0.34
124	0.37
125	0.43
126	0.50
127	0.48
128	0.47
129	0.37
130	0.43
131	0.39
132	0.43
133	0.46
134	0.52
135	0.59
136	0.52
137	0.53
138	0.46
139	0.40
140	0.29
141	0.36
142	0.44
143	0.45
144	0.46
145	0.50
146	0.49
147	0.39
148	0.42
149	0.49
150	0.55
151	0.54
152	0.40
153	0.36
154	0.39
155	0.41
156	0.39
157	0.37
158	0.39
159	0.46
160	0.47
161	0.41
162	0.35
163	0.47
164	0.45
165	0.43
166	0.31
167	0.40
168	0.39
169	0.50
170	0.40
171	0.44
172	0.36
173	0.41
174	0.42
175	0.42
176	0.36
177	0.43
178	0.44
179	0.37
180	0.44
181	0.44
182	0.49
183	0.47
184	0.49
185	0.47
186	0.35
187	0.45
188	0.45
189	0.47
190	0.48
191	0.53
192	0.47
193	0.44
194	0.42
195	0.40
196	0.40
197	0.41
198	0.34
199	0.37
200	0.41
201	0.42
202	0.43
203	0.40
204	0.52
205	0.40
206	0.47
207	0.40
208	0.45
209	0.39
210	0.56
211	0.50
212	0.40
213	0.54
214	0.45
215	0.51
216	0.55
217	0.60
218	0.49
219	0.45
220	0.53
221	0.45
222	0.46
223	0.40
224	0.43
225	0.50
226	0.57
227	0.52
228	0.54
229	0.52
230	0.50
231	0.41
232	0.47
233	0.43
234	0.39
235	0.43
236	0.39
237	0.39
238	0.43
239	0.35
240	0.50
241	0.46
242	0.46
243	0.35
244	0.39
245	0.39
246	0.43
247	0.45
248	0.42
249	0.39
250	0.44
251	0.43
252	0.44
253	0.35
254	0.34
255	0.35
256	0.42
257	0.25
258	0.33
259	0.35
260	0.40
261	0.34
262	0.40
263	0.40
264	0.32
265	0.35
266	0.35
267	0.41
268	0.26
269	0.35
270	0.37
271	0.40
272	0.33
273	0.27
274	0.25
275	0.35
276	0.31
277	0.23
278	0.27
279	0.24
280	0.22
281	0.31
282	0.32
283	0.30
284	0.26
285	0.29
286	0.27
287	0.27
288	0.20
289	0.28
290	0.28
291	0.37
292	0.26
293	0.34
294	0.39
295	0.34
296	0.30
297	0.25
298	0.27
299	0.32
300	0.21
301	0.31
302	0.28
303	0.21
304	0.18
305	0.17
306	0.23
307	0.22
308	0.26
309	0.21
310	0.14
311	0.08
312	0.22
313	0.22
314	0.22
315	0.16
316	0.20
317	0.13
318	0.16
319	0.17
320	0.14
321	0.18
322	0.19
323	0.15
324	0.18
325	0.20
326	0.10
327	0.13
328	0.11
329	0.10
330	0.09
331	0.17
332	0.20
333	0.18
334	0.17
335	0.17
336	0.15
337	0.15
338	0.29
339	0.24
340	0.13
341	0.11
342	0.11
343	0.15
344	0.12
345	0.12
346	0.08
347	0.12
348	0.09
349	0.20
350	0.12
351	0.08
352	0.16
353	0.05
354	0.13
355	0.19
356	0.14
357	0.09
358	0.08
359	0.11
360	0.17
361	0.08
362	0.17
363	0.21
364	0.11
